final_demand,final_energy,redundancy_used,jumped_pct,policy,iteration
171159.80035282663,171159.80035282663,199.18627009899916,96.11,BAU (基準),63
169943.80208821397,169943.80208821397,197.68335089554532,95.86,BAU (基準),64
172322.19795030303,172322.19795030303,200.62294128689135,96.39999999999999,BAU (基準),65
172657.09444191042,172657.09444191042,201.03685829899035,95.77,BAU (基準),66
168533.95913820356,168533.95913820356,195.94084837306053,96.07,BAU (基準),67
170481.60363164166,170481.60363164166,198.34804943236605,96.06,BAU (基準),68
169314.8385512864,169314.8385512864,196.90598023192697,96.0,BAU (基準),69
168854.6649133534,168854.6649133534,196.33722629740302,96.17999999999999,BAU (基準),70
168029.99322336796,168029.99322336796,195.31796915247722,95.61,BAU (基準),71
170710.69257058838,170710.69257058838,198.6311930647721,95.91,BAU (基準),72
171620.38504925516,171620.38504925516,199.755532083349,96.05,BAU (基準),73
170933.62009699308,170933.62009699308,198.90672146819367,96.00999999999999,BAU (基準),74
171294.7282461953,171294.7282461953,199.35303491102786,96.12,BAU (基準),75
170471.47533780374,170471.47533780374,198.3355313163866,96.15,BAU (基準),76
169666.47609837446,169666.47609837446,197.34058843619312,96.09,BAU (基準),77
169622.3713777523,169622.3713777523,197.28607698373878,95.88,BAU (基準),78
171382.3280262871,171382.3280262871,199.46130430215257,96.16,BAU (基準),79
171999.41901445226,171999.41901445226,200.22400102909828,95.97,BAU (基準),80
170471.72075647675,170471.72075647675,198.3358346428364,95.66,BAU (基準),81
170931.6168045338,170931.6168045338,198.9042454887496,95.72,BAU (基準),82
170072.60896407126,170072.60896407126,197.84255040503186,95.88,BAU (基準),83
